date,time,ward,location,latitude,longitude,situation
2018-05-22,11:10,南区,南区藤野487-16（フッズ内リュージュコース脇）,42.9495874,141.277895,"ヒグマを目撃
（2頭）"
2018-05-24,15:15,中央区,中央区自然歩道 藻岩山ルート 旭山記念公園公園入口から馬の背方向へ約500mの地点,43.034572,141.308264,ヒグマを目撃
2018-05-26,14:00,南区,南区藤野407-1付近（小鳥の村の林道上）,42.952975,141.312728,ヒグマを目撃
2018-05-27,5:00,南区,南区簾舞488番地付近,42.953872,141.252686,フンを確認
2018-05-27,14:00,中央区,中央区盤渓市民の森 案内板9番から10番に向かって約100mの地点,43.020758,141.27512,フンを確認
2018-05-30,9:05,南区,南区藤野487-1（フッズ内リュージュコース脇の林道）,42.952251,141.2795446,フン、食痕、被毛を確認
2018-06-01,21:00,南区,南区藤野489-167付近,42.949186,141.283078,フン、食痕を確認
2018-06-01,14:10,中央区,中央区盤渓499-1付近,43.019103,141.290154,ヒグマを目撃
2018-06-04,6:00,南区,南区豊滝41番地付近,42.94745859,141.2379274,フンを確認
2018-06-05,8:55,南区,南区藤野495-1付近,42.95298048,141.2832378,フン、食痕、被毛を確認
2018-06-05,15:30,南区,南区豊滝161番地付近,42.943736,141.232239,"ヒグマを目撃
（親子）"
2018-06-05,朝,南区,南区豊滝398番地付近,42.950089,141.23895,フンを確認
2018-06-06,6:00,南区,南区豊滝126番地付近（豊滝市民の森に続く林道上）,42.93968224,141.2277003,フンを確認
2018-06-08,8:20,南区,南区真駒内142-3付近（駒岡地区開拓記念会館西側の藪の中）,42.95914951,141.3577232,ヒグマを目撃
2018-06-08,8:30,南区,南区藤野6条2丁目付近の林,42.952944,141.307381,動物のうなり声を聞いた
2018-06-10,昼頃,南区,南区豊滝41番地付近,42.94783666,141.2376783,フンを確認
2018-06-10,不明,南区,南区藤野407-1付近（小鳥の村の林道上）,42.95561015,141.313386,掘り跡を確認
2018-06-11,10:00,南区,南区藤野487-3付近（フッズ内の林道上）,42.95101621,141.278676,フンを確認
2018-06-14,8:00,南区,南区常盤176番地1付近,42.912054,141.328969,ヒグマを目撃
2018-06-15,5:20,南区,南区藤野608-3付近,42.945722,141.300581,"ヒグマを目撃
（親子）"
2018-06-16,22:00,南区,南区簾舞4条6丁目12番,42.9576226,141.2582351,ヒグマを目撃
2018-06-17,11:53,南区,南区豊滝115番地付近,42.940392,141.226006,フンを確認
2018-06-17,13:20,南区,南区藤野490番地付近（フッズ東側の林道）,42.949547,141.282978,ヒグマを目撃
2018-06-17,15:00,南区,南区簾舞340番地1付近,42.960422,141.265906,フン、食痕、掘り跡を確認
2018-06-20,8:30,南区,南区簾舞166番地付近,42.941325,141.255959,フン、食痕を確認
2018-06-20,9:00,南区,南区藤野481-11付近,42.953372,141.282586,フンを確認
2018-06-21,6:45,南区,南区石山605-3付近,42.94801863,141.3219371,"ヒグマを目撃
（子グマ）"
2018-06-21,9:30,南区,南区豊滝494-11付近,42.95752851,141.2305396,ヒグマを目撃
2018-06-21,15:00,南区,南区石山621-1付近,42.948617,141.325116,ヒグマを目撃
2018-06-22,13:00,手稲区,手稲区自然歩道 手稲山北尾根ルート 滝の沢から男子大回転ゴール跡方向へ約100mの地点,43.099459,141.191649,フンを確認
2018-06-22,14:00,中央区,中央区盤渓市民の森 案内板1番から2番に向かって約300mの地点,43.020294,141.281062,フン、足跡を確認
2018-06-22,8:00,南区,南区簾舞461-38付近,42.95674108,141.2562816,フンを確認
2018-06-22,13:00,南区,南区藤野484-33付近,42.95323369,141.2821381,フンを確認
2018-06-23,15:50,南区,南区藤野485-25付近 ,42.951736,141.28275,"ヒグマを目撃
（親子）"
2018-06-23,22:55,南区,南区藤野4条11丁目付近,42.95795,141.280631,"ヒグマを目撃
（親子）"
2018-06-25,18:00,南区,南区簾舞31番地付近の笹藪,42.944972,141.260967,"ヒグマを目撃
（親子）"
2018-06-26,17:30,南区,南区豊滝413番地付近の林,42.953902,141.240031,"ヒグマを目撃
（子グマ)"
2018-06-28,9:08,南区,南区豊滝410番地付近,42.953986,141.241453,ヒグマを目撃
2018-06-28,9:42,南区,南区簾舞373番地付近,42.955222,141.264233,フンを確認
2018-06-28,11:00,南区,南区簾舞465番地付近,42.959743,141.252177,枝折り、足跡、爪跡、フン、被毛を確認
2018-06-29,15:30,南区,南区藤野472番地付近,42.95504349,141.2787772,フンを確認
2018-07-01,14:00,南区,南区芸術の森1丁目付近,42.9465278,141.3426574,ヒグマを目撃
2018-07-03,10:00,南区,南区石山828番地付近,42.961539,141.339564,ヒグマを目撃
